Athlete,Event,Mark,Date
Jack Murphy,Shot Put,8.92m,"Dec  3- 4, 2021"
Jack Murphy,Discus,26.57m,"Apr 14-16, 2022"
Jack Murphy,Discus,29.63m,"Apr  9, 2022"
Jack Murphy,Javelin,40.69m,"Apr 14-16, 2022"
Jack Murphy,Heptathlon,3765,"Dec  3- 4, 2021"
Jack Murphy,Decathlon,5138,"Apr 14-16, 2022"
Joe Nowakowski,Shot Put,13.51m,"Feb 25-26, 2023"
Joe Nowakowski,Shot Put,13.94m,"Feb 19, 2023"
Joe Nowakowski,Shot Put,14.20m,"Feb 11, 2023"
Joe Nowakowski,Shot Put,13.94m,"Feb  5, 2023"
Joe Nowakowski,Shot Put,13.81m,"Jan 28, 2023"
Joe Nowakowski,Shot Put,13.33m,"Jan 21, 2023"
Joe Nowakowski,Shot Put,13.73m,"Jan 14, 2023"
Joe Nowakowski,Shot Put,13.68m,"Dec  2- 3, 2022"
Joe Nowakowski,Weight Throw,12.07m,"Jan 14, 2023"
Joe Nowakowski,Weight Throw,12.65m,"Dec  2- 3, 2022"
Brittann Pierce,High Jump,1.97m,"Feb 25-26, 2023"
Brittann Pierce,High Jump,1.86m,"Feb 17, 2023"
Brittann Pierce,High Jump,1.81m,"Feb 11, 2023"
Brittann Pierce,High Jump,NH,"Feb  3- 4, 2023"
Brittann Pierce,High Jump,1.92m,"Jan 28, 2023"
Brittann Pierce,High Jump,1.88m,"Jan 21, 2023"
Brittann Pierce,High Jump,1.80m,"Jan 14, 2023"
Brittann Pierce,High Jump,1.85m,"Dec  2- 3, 2022"
Brittann Pierce,High Jump,1.84m,"Feb 18, 2022"
Brittann Pierce,High Jump,NH,"Feb 11-12, 2022"
Brittann Pierce,High Jump,NH,"Feb  4- 5, 2022"
Brittann Pierce,High Jump,NH,"Jan 22, 2022"
Brittann Pierce,High Jump,1.85m,"Jan 15, 2022"
Brittann Pierce,High Jump,1.85m,"Dec  3- 4, 2021"
Brittann Pierce,High Jump,1.85m,"Feb 27, 2021"
Brittann Pierce,High Jump,1.90m,"Feb 21, 2021"
Brittann Pierce,High Jump,1.90m,"Feb 29-Mar  1, 2020"
Brittann Pierce,High Jump,1.90m,"Feb 21, 2020"
Brittann Pierce,High Jump,1.85m,"Feb 14-15, 2020"
Brittann Pierce,High Jump,NH,"Feb  7, 2020"
Brittann Pierce,High Jump,NH,"Feb  1, 2020"
Brittann Pierce,High Jump,1.85m,"Jan 25, 2020"
Brittann Pierce,High Jump,1.85m,"Jan 18, 2020"
Brittann Pierce,High Jump,1.85m,"Jan 11, 2020"
Brittann Pierce,High Jump,1.85m,"Dec  6- 7, 2019"
Brittann Pierce,Long Jump,5.81m,"Feb 21, 2021"
Vincent Polignano,60 Hurdles,8.89,"Feb 17, 2023"
Vincent Polignano,60 Hurdles,9.05,"Feb 17, 2023"
Vincent Polignano,60 Hurdles,9.07,"Feb 11, 2023"
Vincent Polignano,60 Hurdles,9.07,"Feb  3- 4, 2023"
Vincent Polignano,60 Hurdles,9.01,"Jan 28, 2023"
Vincent Polignano,60 Hurdles,9.00,"Feb 18, 2022"
Vincent Polignano,60 Hurdles,8.91,"Jan 15, 2022"
Vincent Polignano,60 Hurdles,8.85,"Dec  3- 4, 2021"
Vincent Polignano,60 Hurdles,8.78,"Feb 21, 2020"
Vincent Polignano,60 Hurdles,8.91,"Feb 14-15, 2020"
Vincent Polignano,60 Hurdles,9.03,"Feb  7, 2020"
Vincent Polignano,60 Hurdles,8.79,"Feb  1, 2020"
Vincent Polignano,60 Hurdles,8.93,"Jan 18, 2020"
Vincent Polignano,60 Hurdles,8.97,"Jan 11, 2020"
Vincent Polignano,60 Hurdles,9.17,"Jan 12, 2019"
Vincent Polignano,110 Hurdles,16.63,"Apr 14-16, 2023"
Vincent Polignano,110 Hurdles,DNS,"Apr  7- 8, 2023"
Vincent Polignano,110 Hurdles,16.67,"Apr  1, 2023"
Vincent Polignano,110 Hurdles,16.64,"Mar 24-25, 2023"
Vincent Polignano,400 Hurdles,1:00.41,"Apr 14-16, 2023"
Vincent Polignano,400 Hurdles,59.99,"Apr  1, 2023"
Vincent Polignano,400 Hurdles,1:05.56,"Mar 24-25, 2023"
Vincent Polignano,400 Hurdles,1:00.06,"Mar 26, 2022"
Vincent Polignano,400 Hurdles,57.13,"Apr 17, 2021"
Vincent Polignano,400 Hurdles,59.47,"Apr 11, 2021"
Vincent Polignano,400 Hurdles,58.76,"May  3- 4, 2019"
Vincent Polignano,400 Hurdles,58.16,"Apr 13-14, 2019"
Vincent Polignano,400 Hurdles,58.78,"Apr  6, 2019"
Vincent Polignano,4 x 400 Relay,3:38.24,"Jan 15, 2022"
Vincent Polignano,4 x 400 Relay,3:34.62,"Feb  2, 2019"
Vincent Polignano,4 x 800 Relay,DNF,"Dec  7- 8, 2018"
Vincent Polignano,High Jump,NH,"Feb 17, 2023"
Vincent Polignano,High Jump,1.81m,"Feb 11, 2023"
Vincent Polignano,High Jump,1.84m,"Feb  3- 4, 2023"
Vincent Polignano,High Jump,1.83m,"Jan 21, 2023"
Vincent Polignano,High Jump,1.80m,"Jan 14, 2023"
Vincent Polignano,High Jump,1.85m,"Dec  2- 3, 2022"
Vincent Polignano,High Jump,1.79m,"Feb 18, 2022"
Vincent Polignano,High Jump,1.85m,"Feb 11-12, 2022"
Vincent Polignano,High Jump,NH,"Jan 22, 2022"
Vincent Polignano,High Jump,1.80m,"Jan 15, 2022"
Vincent Polignano,High Jump,1.85m,"Dec  3- 4, 2021"
Vincent Polignano,High Jump,1.90m,"Feb 29-Mar  1, 2020"
Vincent Polignano,High Jump,1.85m,"Feb 21, 2020"
Vincent Polignano,High Jump,NH,"Feb 14-15, 2020"
Vincent Polignano,High Jump,NH,"Feb  7, 2020"
Vincent Polignano,High Jump,NH,"Feb  1, 2020"
Vincent Polignano,High Jump,1.90m,"Jan 25, 2020"
Vincent Polignano,High Jump,1.83m,"Jan 18, 2020"
Vincent Polignano,High Jump,1.80m,"Jan 11, 2020"
Vincent Polignano,High Jump,1.80m,"Dec  6- 7, 2019"
Vincent Polignano,High Jump,1.89m,"Feb 16-17, 2019"
Vincent Polignano,High Jump,1.90m,"Feb  8, 2019"
Vincent Polignano,High Jump,1.92m,"Feb  2, 2019"
Vincent Polignano,High Jump,1.90m,"Jan 26, 2019"
Vincent Polignano,High Jump,1.93m,"Jan 19, 2019"
Vincent Polignano,High Jump,1.88m,"Jan 12, 2019"
Vincent Polignano,High Jump,1.95m,"Dec  7- 8, 2018"
Vincent Polignano,High Jump,1.90m,"Dec  1, 2018"
Vincent Polignano,Triple Jump,11.72m,"Jan 29, 2022"
Vincent Polignano,Triple Jump,11.14m,"Jan 19, 2019"
Conor Reilly,60 Meters,7.43,"Jan 14, 2023"
Conor Reilly,Pole Vault,4.70m,"Feb 25-26, 2023"
Conor Reilly,Pole Vault,4.60m,"Feb 11, 2023"
Conor Reilly,Pole Vault,4.55m,"Feb  3- 4, 2023"
Conor Reilly,Pole Vault,4.83m,"Jan 28, 2023"
Conor Reilly,Pole Vault,4.65m,"Jan 21, 2023"
Conor Reilly,Pole Vault,4.71m,"Jan 14, 2023"
Conor Reilly,Pole Vault,4.70m,"Dec  2- 3, 2022"
Conor Reilly,Pole Vault,NH,"Jan 15, 2022"
Conor Reilly,Pole Vault,4.25m,"Feb 27, 2021"
Conor Reilly,Pole Vault,15',"Feb 21, 2021"
Hunter Rodarmel,60 Meters,8.45,"Jan 21, 2023"
Hunter Rodarmel,60 Meters,8.49,"Jan 14, 2023"
Hunter Rodarmel,Shot Put,11.40m,"Jan 21, 2023"
Hunter Rodarmel,Shot Put,11.48m,"Jan 14, 2023"
Hunter Rodarmel,Shot Put,10.22m,"Dec  2- 3, 2022"
Hunter Rodarmel,Shot Put,11.62m,"Jan 29, 2022"
Hunter Rodarmel,Shot Put,10.86m,"Jan 22, 2022"
Hunter Rodarmel,Shot Put,11.57m,"Jan 15, 2022"
Hunter Rodarmel,Shot Put,11.51m,"Dec  3- 4, 2021"
Hunter Rodarmel,Hammer,NM,"Apr  7- 8, 2023"
Hunter Rodarmel,Hammer,35.51m,"Apr 23, 2022"
Hunter Rodarmel,Hammer,32.88m,"Apr  9, 2022"
Hunter Rodarmel,Weight Throw,11.23m,"Jan 21, 2023"
Hunter Rodarmel,Weight Throw,12.04m,"Jan 14, 2023"
Hunter Rodarmel,Weight Throw,12.15m,"Dec  2- 3, 2022"
Hunter Rodarmel,Weight Throw,13.05m,"Feb 11-12, 2022"
Hunter Rodarmel,Weight Throw,11.56m,"Jan 22, 2022"
Hunter Rodarmel,Weight Throw,12.28m,"Jan 15, 2022"
Hunter Rodarmel,Weight Throw,12.12m,"Dec  3- 4, 2021"
Hunter Rodarmel,Javelin,56.48m,"Apr 14-16, 2023"
Hunter Rodarmel,Javelin,57.29m,"Apr  7- 8, 2023"
Hunter Rodarmel,Javelin,53.02m,"Apr  1, 2023"
Hunter Rodarmel,Javelin,50.00m,"Mar 24-25, 2023"
Hunter Rodarmel,Javelin,55.58m,"Mar 18, 2023"
Hunter Rodarmel,Javelin,47.51m,"May  6- 7, 2022"
Hunter Rodarmel,Javelin,53.28m,"Apr 29-30, 2022"
Hunter Rodarmel,Javelin,55.19m,"Apr 23, 2022"
Hunter Rodarmel,Javelin,51.34m,"Apr 15, 2022"
Hunter Rodarmel,Javelin,48.29m,"Apr  9, 2022"
Hunter Rodarmel,Javelin,48.36m,"Apr  2, 2022"
Hunter Rodarmel,Javelin,51.05m,"Mar 26, 2022"
Hunter Rodarmel,Javelin,49.41m,"Mar 19, 2022"
Andrew Roman,60 Meters,7.13,"Feb 25-26, 2023"
Andrew Roman,60 Meters,7.14,"Feb 17, 2023"
Andrew Roman,60 Meters,7.17,"Feb 17, 2023"
Andrew Roman,60 Meters,7.20,"Feb 11, 2023"
Andrew Roman,60 Meters,7.15,"Feb 11, 2023"
Andrew Roman,60 Meters,7.18,"Feb  3- 4, 2023"
Andrew Roman,60 Meters,7.14,"Jan 28, 2023"
Andrew Roman,60 Meters,7.21,"Jan 14, 2023"
Andrew Roman,60 Meters,7.15,"Dec  2- 3, 2022"
Andrew Roman,60 Meters,7.19,"Dec  2- 3, 2022"
Andrew Roman,60 Meters,7.25,"Feb 18, 2022"
Andrew Roman,60 Meters,7.28,"Feb 18, 2022"
Andrew Roman,60 Meters,7.34,"Feb 11-12, 2022"
Andrew Roman,60 Meters,7.26,"Jan 29, 2022"
Andrew Roman,60 Meters,7.43,"Jan 22, 2022"
Andrew Roman,60 Meters,7.37,"Jan 15, 2022"
Andrew Roman,60 Meters,7.57,"Dec  3- 4, 2021"
Andrew Roman,60 Meters,7.51,"Feb 21, 2020"
Andrew Roman,60 Meters,7.26,"Feb  1, 2020"
Andrew Roman,60 Meters,DNS,"Jan 11, 2020"
Andrew Roman,60 Meters,7.13,"Dec  6- 7, 2019"
Andrew Roman,60 Meters,7.16,"Dec  6- 7, 2019"
Andrew Roman,100 Meters,11.38,"Apr 14-16, 2023"
Andrew Roman,100 Meters,DNS,"Apr  7- 8, 2023"
Andrew Roman,100 Meters,11.13,"May  6- 7, 2022"
Andrew Roman,100 Meters,11.43,"Apr 29-30, 2022"
Andrew Roman,100 Meters,11.25,"Apr 14-16, 2022"
Andrew Roman,100 Meters,11.28,"Apr  9, 2022"
Andrew Roman,100 Meters,11.18,"Apr  2, 2022"
Andrew Roman,100 Meters,11.33,"Mar 26, 2022"
Andrew Roman,100 Meters,DNS,"Mar 21, 2021"
Andrew Roman,200 Meters,22.72,"Feb 25-26, 2023"
Andrew Roman,200 Meters,22.93,"Feb 17, 2023"
Andrew Roman,200 Meters,22.79,"Feb 11, 2023"
Andrew Roman,200 Meters,22.95,"Feb  3- 4, 2023"
Andrew Roman,200 Meters,23.02,"Jan 28, 2023"
Andrew Roman,200 Meters,23.31,"Jan 14, 2023"
Andrew Roman,200 Meters,23.13,"Feb 18, 2022"
Andrew Roman,200 Meters,23.46,"Feb 11-12, 2022"
Andrew Roman,200 Meters,24.30,"Jan 15, 2022"
Andrew Roman,200 Meters,25.71,"Dec  3- 4, 2021"
Andrew Roman,200 Meters,DNS,"Feb  1, 2020"
Andrew Roman,200 Meters,23.46,"Jan 11, 2020"
Andrew Roman,200 Meters,23.41,"Dec  6- 7, 2019"
Andrew Roman,400 Meters,51.93,"Mar 18, 2023"
Andrew Roman,4 x 100 Relay,42.69,"Apr 14-16, 2023"
Andrew Roman,4 x 100 Relay,DNF,"Apr  7- 8, 2023"
Andrew Roman,4 x 100 Relay,43.61,"Apr  1, 2023"
Andrew Roman,4 x 100 Relay,43.63,"Mar 24-25, 2023"
Andrew Roman,4 x 100 Relay,44.70,"May  6- 7, 2022"
Andrew Roman,4 x 100 Relay,DNS,"Apr 29-30, 2022"
Andrew Roman,4 x 100 Relay,43.80,"Apr 28-30, 2022"
Andrew Roman,4 x 100 Relay,43.80,"Apr 23, 2022"
Andrew Roman,4 x 100 Relay,43.27,"Apr  9, 2022"
Andrew Roman,4 x 100 Relay,44.34,"Apr  2, 2022"
Andrew Roman,4 x 100 Relay,43.58,"Mar 26, 2022"
Andrew Roman,4 x 100 Relay,43.73,"Apr  3, 2021"
Andrew Roman,4 x 100 Relay,DNF,"Mar 21, 2021"
Andrew Roman,4 x 400 Relay,3:27.98,"Dec  2- 3, 2022"
Ian Scott,60 Meters,7.45,"Dec  6- 7, 2019"
Ian Scott,100 Meters,13.34,"Mar 24-25, 2023"
Ian Scott,100 Meters,11.67,"Mar 18, 2023"
Ian Scott,1000 Meters,3:11.52,"Dec  6- 7, 2019"
Ian Scott,60 Hurdles,10.05,"Feb 14-15, 2020"
Ian Scott,60 Hurdles,9.14,"Jan 18, 2020"
Ian Scott,60 Hurdles,9.04,"Jan 11, 2020"
Ian Scott,60 Hurdles,9.64,"Dec  6- 7, 2019"
Ian Scott,4 x 400 Relay,3:36.44,"Feb 14-15, 2020"
Ian Scott,High Jump,1.97m,"Feb 25-26, 2023"
Ian Scott,High Jump,1.91m,"Feb 11, 2023"
Ian Scott,High Jump,1.92m,"Jan 28, 2023"
Ian Scott,High Jump,1.95m,"Jan 21, 2023"
Ian Scott,High Jump,1.95m,"Jan 14, 2023"
Ian Scott,High Jump,1.90m,"Dec  2- 3, 2022"
Ian Scott,High Jump,1.97m,"Feb 26-27, 2022"
Ian Scott,High Jump,1.90m,"Feb 11-12, 2022"
Ian Scott,High Jump,NH,"Feb  4- 5, 2022"
Ian Scott,High Jump,2.00m,"Jan 29, 2022"
Ian Scott,High Jump,NH,"Jan 22, 2022"
Ian Scott,High Jump,1.90m,"Jan 15, 2022"
Ian Scott,High Jump,1.85m,"Dec  3- 4, 2021"
Ian Scott,High Jump,1.90m,"Feb 27, 2021"
Ian Scott,High Jump,2.00m,"Feb 21, 2021"
Ian Scott,High Jump,1.85m,"Feb 29-Mar  1, 2020"
Ian Scott,High Jump,1.95m,"Feb 21, 2020"
Ian Scott,High Jump,NH,"Feb  7, 2020"
Ian Scott,High Jump,DNS,"Feb  1, 2020"
Ian Scott,High Jump,1.85m,"Jan 18, 2020"
Ian Scott,High Jump,1.95m,"Jan 11, 2020"
Ian Scott,High Jump,1.89m,"Dec  6- 7, 2019"
Ian Scott,Pole Vault,2.65m,"Dec  6- 7, 2019"
Ian Scott,Long Jump,6.90m,"Feb 25-26, 2023"
Ian Scott,Long Jump,6.73m,"Feb 11, 2023"
Ian Scott,Long Jump,6.70m,"Jan 28, 2023"
Ian Scott,Long Jump,NM,"Jan 14, 2023"
Ian Scott,Long Jump,6.70m,"Dec  2- 3, 2022"
Ian Scott,Long Jump,6.62m,"Feb 26-27, 2022"
Ian Scott,Long Jump,6.46m,"Feb  4- 5, 2022"
Ian Scott,Long Jump,6.95m,"Jan 29, 2022"
Ian Scott,Long Jump,6.65m,"Jan 22, 2022"
Ian Scott,Long Jump,6.65m,"Dec  3- 4, 2021"
Ian Scott,Long Jump,6.34m,"Feb 27, 2021"
Ian Scott,Long Jump,6.48m,"Feb 21, 2021"
Ian Scott,Long Jump,6.47m,"Feb 29-Mar  1, 2020"
Ian Scott,Long Jump,6.40m,"Feb 21, 2020"
Ian Scott,Long Jump,6.31m,"Feb 14-15, 2020"
Ian Scott,Long Jump,6.52m,"Feb  7, 2020"
Ian Scott,Long Jump,DNS,"Feb  1, 2020"
Ian Scott,Long Jump,6.71m,"Jan 25, 2020"
Ian Scott,Long Jump,6.24m,"Dec  6- 7, 2019"
Ian Scott,Triple Jump,14.86m,"Feb 25-26, 2023"
Ian Scott,Triple Jump,14.73m,"Feb 17, 2023"
Ian Scott,Triple Jump,14.24m,"Jan 21, 2023"
Ian Scott,Triple Jump,13.49m,"Dec  2- 3, 2022"
Ian Scott,Triple Jump,14.62m,"Feb 26-27, 2022"
Ian Scott,Triple Jump,13.71m,"Feb 11-12, 2022"
Ian Scott,Triple Jump,13.84m,"Jan 29, 2022"
Ian Scott,Triple Jump,13.86m,"Jan 22, 2022"
Ian Scott,Triple Jump,13.74m,"Jan 15, 2022"
Ian Scott,Triple Jump,13.40m,"Dec  3- 4, 2021"
Ian Scott,Triple Jump,13.44m,"Feb 27, 2021"
Ian Scott,Triple Jump,13.21m,"Feb 29-Mar  1, 2020"
Ian Scott,Triple Jump,13.06m,"Feb 21, 2020"
Ian Scott,Triple Jump,13.40m,"Feb 14-15, 2020"
Ian Scott,Triple Jump,11.78m,"Feb  7, 2020"
Ian Scott,Triple Jump,DNS,"Feb  1, 2020"
Ian Scott,Triple Jump,13.89m,"Jan 25, 2020"
Ian Scott,Triple Jump,13.91m,"Jan 11, 2020"
Ian Scott,Triple Jump,13.34m,"Dec  6- 7, 2019"
Ian Scott,Shot Put,8.94m,"Dec  6- 7, 2019"
Ian Scott,Heptathlon,3932,"Dec  6- 7, 2019"
Sharan Shankar,Shot Put,11.45m,"Feb 19, 2023"
Sharan Shankar,Shot Put,11.84m,"Feb 11, 2023"
Sharan Shankar,Shot Put,11.18m,"Jan 21, 2023"
Sharan Shankar,Shot Put,12.68m,"Jan 14, 2023"
Sharan Shankar,Shot Put,12.98m,"Dec  2- 3, 2022"
Sharan Shankar,Hammer,42.29m,"Apr  7- 8, 2023"
Sharan Shankar,Hammer,FOUL,"Apr  1, 2023"
Sharan Shankar,Hammer,37.20m,"Mar 24-25, 2023"
Sharan Shankar,Hammer,38.14m,"Mar 18, 2023"
Sharan Shankar,Weight Throw,10.59m,"Jan 21, 2023"
Sharan Shankar,Weight Throw,10.99m,"Jan 14, 2023"
Sharan Shankar,Weight Throw,11.72m,"Dec  2- 3, 2022"
John Siani,60 Meters,7.29,"Feb 25-26, 2023"
John Siani,60 Meters,7.06,"Jan 28, 2023"
John Siani,60 Meters,7.31,"Jan 21, 2023"
John Siani,60 Meters,7.22,"Jan 14, 2023"
John Siani,60 Meters,7.14,"Dec  2- 3, 2022"
John Siani,60 Meters,7.16,"Dec  2- 3, 2022"
John Siani,60 Meters,7.34,"Dec  3- 4, 2021"
John Siani,60 Meters,7.47,"Dec  6- 7, 2019"
John Siani,100 Meters,10.93,"Apr 14-16, 2023"
John Siani,100 Meters,11.20,"Apr  7- 8, 2023"
John Siani,100 Meters,11.17,"Apr  1, 2023"
John Siani,100 Meters,11.27,"Mar 24-25, 2023"
John Siani,100 Meters,11.54,"Apr 29-30, 2022"
John Siani,100 Meters,11.48,"Apr  2, 2022"
John Siani,100 Meters,11.99,"Apr 30-May  1, 2021"
John Siani,100 Meters,11.98,"Apr  9, 2021"
John Siani,200 Meters,23.18,"Feb 25-26, 2023"
John Siani,200 Meters,23.84,"Jan 21, 2023"
John Siani,200 Meters,25.01,"Jan 14, 2023"
John Siani,200 Meters,DNS,"Dec  2- 3, 2022"
John Siani,400 Meters,54.69,"Jan 29, 2022"
John Siani,1000 Meters,2:54.99,"Dec  3- 4, 2021"
John Siani,1000 Meters,2:50.38,"Dec  6- 7, 2019"
John Siani,1500 Meters,4:53.43,"Apr 30-May  1, 2021"
John Siani,1500 Meters,5:07.69,"Apr  9, 2021"
John Siani,60 Hurdles,9.51,"Feb 18, 2022"
John Siani,60 Hurdles,DNS,"Jan 15, 2022"
John Siani,60 Hurdles,9.59,"Dec  3- 4, 2021"
John Siani,60 Hurdles,10.57,"Jan 18, 2020"
John Siani,60 Hurdles,11.66,"Jan 11, 2020"
John Siani,60 Hurdles,10.22,"Dec  6- 7, 2019"
John Siani,110 Hurdles,18.22,"Apr  9, 2022"
John Siani,110 Hurdles,19.98,"Apr 30-May  1, 2021"
John Siani,110 Hurdles,20.45,"Apr  9, 2021"
John Siani,110 Hurdles,DNS,"Apr  3, 2021"
John Siani,4 x 100 Relay,42.69,"Apr 14-16, 2023"
John Siani,4 x 100 Relay,DNF,"Apr  7- 8, 2023"
John Siani,4 x 100 Relay,43.61,"Apr  1, 2023"
John Siani,4 x 100 Relay,43.63,"Mar 24-25, 2023"
John Siani,4 x 100 Relay,DNS,"Apr 29-30, 2022"
John Siani,4 x 400 Relay,3:38.11,"Jan 14, 2023"
John Siani,High Jump,NH,"Feb 11-12, 2022"
John Siani,High Jump,1.65m,"Jan 15, 2022"
John Siani,High Jump,1.73m,"Dec  3- 4, 2021"
John Siani,High Jump,NH,"Jan 18, 2020"
John Siani,High Jump,NH,"Jan 11, 2020"
John Siani,High Jump,1.62m,"Dec  6- 7, 2019"
John Siani,Pole Vault,NH,"Feb 11-12, 2022"
John Siani,Pole Vault,NH,"Jan 15, 2022"
John Siani,Pole Vault,NH,"Dec  3- 4, 2021"
John Siani,Pole Vault,2.85m,"Dec  6- 7, 2019"
John Siani,Long Jump,5.47m,"Feb 18, 2022"
John Siani,Long Jump,6.11m,"Jan 29, 2022"
John Siani,Long Jump,5.98m,"Dec  3- 4, 2021"
John Siani,Long Jump,5.45m,"Jan 18, 2020"
John Siani,Long Jump,5.66m,"Jan 11, 2020"
John Siani,Long Jump,5.63m,"Dec  6- 7, 2019"
John Siani,Shot Put,10.07m,"Dec  3- 4, 2021"
John Siani,Shot Put,8.62m,"Dec  6- 7, 2019"
John Siani,Discus,NM,"Apr  9, 2022"
John Siani,Discus,29.20m,"Apr 30-May  1, 2021"
John Siani,Discus,24.20m,"Apr 17, 2021"
John Siani,Discus,22.84m,"Apr  9, 2021"
John Siani,Discus,20.17m,"Apr  3, 2021"
John Siani,Discus,21.30m,"Mar 27, 2021"
John Siani,Javelin,NM,"Apr 29-30, 2022"
John Siani,Javelin,39.93m,"Apr  9, 2022"
John Siani,Javelin,38.35m,"Mar 26, 2022"
John Siani,Javelin,43.66m,"Apr 30-May  1, 2021"
John Siani,Javelin,37.84m,"Apr 24, 2021"
John Siani,Javelin,34.09m,"Apr  9, 2021"
John Siani,Javelin,31.38m,"Apr  3, 2021"
John Siani,Javelin,33.46m,"Mar 21, 2021"
John Siani,Heptathlon,3738,"Dec  3- 4, 2021"
John Siani,Heptathlon,3692,"Dec  6- 7, 2019"
John Siani,Decathlon,4812,"Apr 30-May  1, 2021"
John Siani,Decathlon,4595,"Apr  9, 2021"
Greg Stagliano,Shot Put,10.88m,"Dec  2- 3, 2022"
Greg Stagliano,Shot Put,9.42m,"Dec  3- 4, 2021"
Greg Stagliano,Discus,34.73m,"Apr  7- 8, 2023"
Greg Stagliano,Discus,31.95m,"Mar 18, 2023"
Greg Stagliano,Discus,32.21m,"Apr 29-30, 2022"
Greg Stagliano,Javelin,54.87m,"Apr 14-16, 2023"
Greg Stagliano,Javelin,56.14m,"Apr  7- 8, 2023"
Greg Stagliano,Javelin,53.72m,"Apr  1, 2023"
Greg Stagliano,Javelin,52.47m,"Mar 24-25, 2023"
Greg Stagliano,Javelin,54.55m,"Mar 18, 2023"
Greg Stagliano,Javelin,51.91m,"May  6- 7, 2022"
Greg Stagliano,Javelin,51.83m,"Apr 29-30, 2022"
Greg Stagliano,Javelin,51.46m,"Apr 23, 2022"
Greg Stagliano,Javelin,49.90m,"Apr 15, 2022"
Greg Stagliano,Javelin,49.86m,"Apr  9, 2022"
Greg Stagliano,Javelin,48.65m,"Apr  2, 2022"
Greg Stagliano,Javelin,49.33m,"Mar 26, 2022"
Greg Stagliano,Javelin,50.85m,"Mar 19, 2022"
Dan Stipanov,60 Meters,7.63,"Feb  3- 4, 2023"
Dan Stipanov,100 Meters,DNS,"Apr  7- 8, 2023"
Dan Stipanov,100 Meters,11.86,"Mar 26, 2022"
Dan Stipanov,200 Meters,23.99,"Feb 11, 2023"
Dan Stipanov,200 Meters,24.45,"Jan 28, 2023"
Dan Stipanov,200 Meters,24.30,"Jan 14, 2023"
Dan Stipanov,200 Meters,23.95,"Dec  2- 3, 2022"
Dan Stipanov,200 Meters,24.63,"Jan 15, 2022"
Dan Stipanov,200 Meters,24.20,"Dec  3- 4, 2021"
Dan Stipanov,200 Meters,24.70,"Feb 27, 2021"
Dan Stipanov,60 Hurdles,8.39,"Feb 25-26, 2023"
Dan Stipanov,60 Hurdles,8.44,"Feb 25-26, 2023"
Dan Stipanov,60 Hurdles,8.38,"Feb 17, 2023"
Dan Stipanov,60 Hurdles,8.45,"Feb 17, 2023"
Dan Stipanov,60 Hurdles,8.51,"Feb 11, 2023"
Dan Stipanov,60 Hurdles,8.63,"Feb 11, 2023"
Dan Stipanov,60 Hurdles,8.78,"Feb  3- 4, 2023"
Dan Stipanov,60 Hurdles,8.54,"Jan 28, 2023"
Dan Stipanov,60 Hurdles,8.52,"Jan 21, 2023"
Dan Stipanov,60 Hurdles,8.63,"Jan 21, 2023"
Dan Stipanov,60 Hurdles,8.50,"Jan 14, 2023"
Dan Stipanov,60 Hurdles,8.47,"Dec  2- 3, 2022"
Dan Stipanov,60 Hurdles,8.57,"Dec  2- 3, 2022"
Dan Stipanov,60 Hurdles,8.43,"Feb 26-27, 2022"
Dan Stipanov,60 Hurdles,8.60,"Feb 18, 2022"
Dan Stipanov,60 Hurdles,8.64,"Feb 18, 2022"
Dan Stipanov,60 Hurdles,8.83,"Feb 11-12, 2022"
Dan Stipanov,60 Hurdles,8.61,"Feb  4- 5, 2022"
Dan Stipanov,60 Hurdles,8.53,"Jan 29, 2022"
Dan Stipanov,60 Hurdles,8.66,"Jan 22, 2022"
Dan Stipanov,60 Hurdles,8.73,"Jan 15, 2022"
Dan Stipanov,60 Hurdles,8.69,"Dec  3- 4, 2021"
Dan Stipanov,60 Hurdles,8.67,"Dec  3- 4, 2021"
Dan Stipanov,60 Hurdles,8.83,"Feb 27, 2021"
Dan Stipanov,60 Hurdles,8.90,"Feb 27, 2021"
Dan Stipanov,60 Hurdles,8.96,"Feb 21, 2021"
Dan Stipanov,110 Hurdles,14.90,"Apr  7- 8, 2023"
Dan Stipanov,110 Hurdles,15.34,"Apr  1, 2023"
Dan Stipanov,110 Hurdles,15.11,"Mar 24-25, 2023"
Dan Stipanov,110 Hurdles,15.01,"Apr 29-30, 2022"
Dan Stipanov,110 Hurdles,15.31,"Apr 23, 2022"
Dan Stipanov,110 Hurdles,15.15,"Apr 14-16, 2022"
Dan Stipanov,110 Hurdles,15.72,"Apr  9, 2022"
Dan Stipanov,110 Hurdles,15.48,"Mar 26, 2022"
Dan Stipanov,110 Hurdles,15.64,"Apr 17, 2021"
Dan Stipanov,110 Hurdles,15.41,"Apr 11, 2021"
Dan Stipanov,110 Hurdles,16.14,"Apr  3, 2021"
Dan Stipanov,110 Hurdles,15.40,"Mar 27, 2021"
Dan Stipanov,110 Hurdles,15.95,"Mar 21, 2021"
Dan Stipanov,4 x 100 Relay,DNF,"Apr  7- 8, 2023"
Dan Stipanov,4 x 100 Relay,43.61,"Apr  1, 2023"
Dan Stipanov,4 x 100 Relay,43.63,"Mar 24-25, 2023"
Dan Stipanov,4 x 100 Relay,DNS,"Apr 29-30, 2022"
